Date,Open,High,Low,Close,Volume
2020-09-09,5600.0,5600.0,5500.0,5500.0,511
2020-09-10,5500.0,5600.0,5400.0,5600.0,70552
2020-09-11,5615.0,5619.0,5540.0,5574.0,40801
2020-09-14,5569.0,5569.0,5525.0,5550.0,63553
2020-09-15,5500.0,5550.0,5450.0,5450.0,107218
2020-09-16,5450.0,5450.0,5200.0,5300.0,54283
2020-09-17,5150.0,5150.0,4950.0,5140.0,110548
2020-09-18,5100.0,5260.0,5100.0,5250.0,63251
2020-09-21,5250.0,5395.0,5200.0,5200.0,53541
2020-09-22,5300.0,5320.0,5100.0,5320.0,76310
2020-09-23,5175.0,5350.0,5100.0,5350.0,45552
2020-09-24,5400.0,5400.0,5250.0,5350.0,36562
2020-09-25,5400.0,5460.0,5350.0,5460.0,66306
2020-09-28,5500.0,5610.0,5490.0,5580.0,8661
2020-09-29,5600.0,5825.0,5500.0,5650.0,54428
2020-09-30,5720.0,5750.0,5650.0,5719.0,28410
2020-10-01,5700.0,5750.0,5560.0,5632.0,28407
2020-10-02,5741.0,5741.0,5632.0,5680.0,21540
2020-10-05,5787.0,5787.0,5570.0,5580.0,63309
2020-10-06,5600.0,5670.0,5600.0,5625.0,10706
2020-10-07,5600.0,5600.0,5550.0,5550.0,52932
2020-10-08,5625.0,5740.0,5625.0,5696.5,13111
2020-10-09,5696.5,6020.0,5696.5,6000.0,29478
2020-10-13,5800.0,5998.0,5800.0,5950.0,29070
2020-10-14,5950.0,5975.0,5800.0,5969.0,62425
2020-10-15,5989.0,6100.0,5989.0,6080.0,86888
2020-10-16,6080.0,6100.0,6080.0,6085.0,5320
2020-10-19,5998.0,5998.0,5812.0,5965.0,25925
2020-10-20,5812.0,5850.0,5765.0,5825.5,228798
2020-10-21,5923.0,6055.0,5826.0,6000.0,549092
2020-10-22,6010.0,6100.0,5970.0,6050.0,366048
2020-10-23,6099.5,6100.0,5775.0,5919.0,9890
2020-10-26,5745.0,5800.0,5652.0,5652.0,13742
2020-10-27,5670.0,5671.0,5500.0,5500.0,33551
2020-10-28,5500.0,5550.0,5250.0,5300.0,496112
2020-10-29,5350.0,5500.0,5200.0,5250.0,258345
2020-10-30,5250.0,5392.0,5150.0,5215.0,193302
2020-11-02,5220.0,5220.0,5140.0,5140.0,59403
2020-11-03,5140.0,5300.0,5050.0,5300.0,24584
2020-11-04,5285.0,5400.0,5285.0,5400.0,19000
2020-11-05,5400.0,5400.0,5300.0,5400.0,147552
2020-11-06,5250.0,5400.0,5250.0,5400.0,1044
2020-11-09,5400.0,5450.0,5350.0,5400.0,8081
2020-11-10,5350.0,5400.0,5300.0,5400.0,51406
2020-11-11,5435.0,5435.0,5300.0,5399.0,43502
2020-11-12,5399.0,5400.0,5350.0,5400.0,26947
2020-11-13,5500.0,5500.0,5350.0,5500.0,25133
2020-11-16,5600.0,5625.0,5600.0,5600.0,23643
2020-11-17,5650.0,5650.0,5550.0,5600.0,6419
2020-11-18,5700.0,5700.0,5550.0,5550.0,24976
2020-11-19,5595.0,5595.0,5460.0,5544.0,2828
2020-11-20,5510.0,5600.0,5510.0,5529.5,9417
2020-11-24,5380.0,5518.0,5380.0,5500.0,10384
2020-11-25,5505.0,5600.0,5505.0,5534.0,14120
2020-11-26,5535.0,5535.0,5400.0,5400.0,3372
2020-11-27,5440.0,5440.0,5420.0,5430.0,12253
2020-11-30,5327.0,5430.0,5300.5,5400.0,40297
2020-12-01,5410.0,5410.0,5252.0,5262.0,7233
2020-12-02,5300.0,5380.0,5300.0,5380.0,27244
2020-12-03,5265.0,5265.0,5100.0,5100.0,14148
2020-12-04,5150.0,5150.0,5000.0,5145.0,2600
2020-12-09,5100.0,5200.0,4900.0,5000.0,2854
2020-12-10,4870.0,5000.0,4870.0,4900.0,10431
2020-12-11,4920.0,5000.0,4900.0,5000.0,10876
2020-12-14,4950.0,5120.0,4950.0,5098.0,7247
2020-12-15,5001.0,5200.0,5000.0,5175.0,9665
2020-12-16,5300.0,5300.0,5100.0,5100.0,12195
2020-12-17,5200.0,5200.0,5000.0,5051.0,7631
2020-12-18,5149.0,5199.0,5149.0,5180.0,7394
2020-12-21,5298.0,5298.0,5250.0,5297.0,106531
2020-12-22,5300.0,5350.0,5290.0,5290.0,20613
2020-12-23,5250.0,5295.0,5230.0,5295.0,8459
2020-12-28,5200.0,5255.0,5200.0,5255.0,9784
2020-12-29,5109.0,5340.0,5109.0,5340.0,1820
2020-12-30,5480.0,5480.0,5429.5,5430.0,1857
2021-01-04,5390.0,5390.0,5050.0,5380.0,22574
2021-01-05,5300.0,5300.0,5148.0,5250.0,11384
2021-01-06,5250.0,5250.0,5200.0,5230.0,19450
2021-01-07,5395.0,5395.0,5155.0,5240.0,19538
2021-01-08,5240.0,5305.0,5240.0,5295.0,3568
2021-01-11,5210.0,5300.0,5210.0,5300.0,100983
2021-01-13,5200.0,5295.0,5200.0,5200.0,13547
2021-01-14,5090.0,5150.0,5090.0,5150.0,38527
2021-01-15,5185.0,5185.0,5084.0,5150.0,59085
2021-01-18,5050.0,5100.0,5050.0,5100.0,3708
2021-01-19,5010.0,5226.0,5010.0,5225.0,12231
2021-01-20,5220.0,5249.0,5150.0,5210.0,70633
2021-01-21,5199.0,5200.0,5199.0,5200.0,1300
2021-01-22,5219.5,5280.0,5160.0,5260.0,60023
2021-01-25,5300.0,5350.0,5300.0,5350.0,24620
2021-01-26,5350.0,5375.0,5350.0,5375.0,30324
2021-01-27,5350.0,5350.0,5350.0,5350.0,10
2021-01-28,5349.0,5398.0,5349.0,5349.0,6302
2021-01-29,5385.0,5390.0,5160.0,5220.0,16090
2021-02-01,5185.0,5250.0,5118.5,5200.0,24402
2021-02-02,5245.0,5335.0,5220.0,5300.0,33021
2021-02-03,5495.0,5495.0,5250.0,5250.0,1862
2021-02-04,5400.0,5400.0,5250.0,5300.0,56568
2021-02-05,5250.0,5400.0,5250.0,5300.0,17976
2021-02-08,5300.0,5300.0,5250.0,5250.0,13016
2021-02-09,5251.0,5255.0,5200.0,5255.0,7233
2021-02-10,5300.0,5300.0,5151.0,5220.0,18536
2021-02-11,5220.0,5250.0,5150.0,5150.0,17299
2021-02-12,5200.0,5200.0,5000.0,5100.0,32608
2021-02-17,5100.0,5100.0,4896.0,4900.0,93477
2021-02-18,4905.0,4910.0,4720.0,4800.0,35050
2021-02-19,4800.0,4824.5,4700.0,4700.0,2103
2021-02-22,4700.0,4775.0,4625.0,4700.0,79165
2021-02-23,4624.0,4645.0,4624.0,4645.0,5140
2021-02-24,4625.0,4749.0,4625.0,4680.0,3018
2021-02-25,4702.0,4702.0,4701.0,4701.0,7262
2021-02-26,4720.0,4805.0,4720.0,4805.0,12478
2021-03-01,4880.0,5008.5,4830.0,5008.5,5744
2021-03-02,4998.5,4999.0,4872.5,4980.0,26722
2021-03-03,4900.0,4900.0,4750.0,4750.0,26536
2021-03-04,4750.0,4940.0,4730.0,4800.0,73848
2021-03-05,4800.0,4800.0,4730.0,4730.0,11408
2021-03-08,4700.0,4700.0,4601.0,4601.0,17158
2021-03-09,4650.0,4650.0,4605.0,4605.0,1896
2021-03-10,4607.0,4651.0,4420.0,4500.0,123184
2021-03-11,4530.0,4530.0,4400.0,4500.0,113959
2021-03-12,4500.0,4500.0,4500.0,4500.0,1340
2021-03-15,4500.0,4850.0,4500.0,4700.0,121859
2021-03-16,4699.0,4782.0,4651.0,4700.0,136812
2021-03-17,4700.0,4700.0,4700.0,4700.0,390
2021-03-18,4651.5,4651.5,4651.5,4651.5,971
2021-03-19,4700.0,4798.0,4700.0,4710.0,2726
2021-03-22,4715.0,4800.0,4651.5,4800.0,128101
2021-03-23,4849.0,4849.0,4840.0,4840.0,1002
2021-03-25,4724.5,4724.5,4500.0,4550.0,23396
2021-03-26,4550.0,4580.0,4500.0,4530.0,3427
2021-03-29,4500.0,4573.5,4480.0,4500.0,16839
2021-03-30,4500.0,4500.0,4500.0,4500.0,6126
2021-03-31,4500.0,4500.0,4500.0,4500.0,970
2021-04-05,4600.0,4600.0,4430.0,4562.0,52617
2021-04-06,4562.0,4562.0,4550.0,4562.0,12486
2021-04-07,4521.0,4559.5,4521.0,4525.0,11898
2021-04-08,4525.0,4650.0,4525.0,4610.0,201
2021-04-09,4615.0,4615.0,4599.0,4599.0,4473
2021-04-12,4590.0,4650.0,4540.0,4650.0,93361
2021-04-13,4750.0,4750.0,4545.0,4545.0,11377
2021-04-14,4670.0,4675.0,4650.0,4650.0,142764
2021-04-15,4650.0,4650.0,4650.0,4650.0,2700
2021-04-16,4700.0,4700.0,4580.0,4600.0,8480
2021-04-19,4650.0,4700.0,4650.0,4700.0,23516
2021-04-20,4570.0,4700.0,4550.0,4650.0,14461
2021-04-21,4650.0,4720.0,4650.0,4720.0,27189
2021-04-22,4849.0,4849.0,4670.0,4670.0,8531
2021-04-23,4800.0,4800.0,4700.0,4790.0,5810
2021-04-26,4854.0,4854.0,4765.0,4765.0,1250
2021-04-27,4800.0,5050.0,4800.0,5050.0,32791
2021-04-28,5050.0,5150.5,4900.0,5068.0,27151
2021-04-29,5000.0,5058.0,4980.0,5050.0,24500
2021-04-30,4950.0,5100.0,4950.0,5070.0,26959
2021-05-03,4945.0,5120.0,4945.0,5070.0,9990
2021-05-04,5090.0,5200.0,5090.0,5120.0,27155
2021-05-05,5125.0,5200.0,5031.0,5175.0,6198
2021-05-06,5100.0,5100.0,5044.0,5100.0,3298
2021-05-07,5100.0,5100.0,5070.0,5070.0,18010
2021-05-10,5050.0,5155.0,5050.0,5085.0,15465
2021-05-11,5085.0,5090.0,5070.0,5070.0,4746
2021-05-12,5070.0,5070.0,4950.0,4950.0,10788
2021-05-13,4920.0,4920.0,4850.0,4900.0,36250
2021-05-14,4965.0,5020.0,4900.0,5010.0,157220
2021-05-17,5100.0,5199.0,5000.0,5199.0,14538
2021-05-18,5195.0,5252.0,5180.0,5250.0,42822
2021-05-19,5250.0,5300.0,5218.0,5300.0,8817
2021-05-20,5245.0,5375.0,5220.0,5375.0,159201
2021-05-21,5315.0,5400.0,5280.0,5380.0,3378
2021-05-26,5380.0,5450.0,5300.0,5400.0,26790
2021-05-27,5485.5,5490.0,5320.0,5489.0,9883
2021-05-28,5581.0,5599.5,5470.0,5560.0,3462
2021-05-31,5480.0,5600.0,5450.0,5595.0,11663
2021-06-01,5550.0,5620.0,5540.0,5600.0,36643
2021-06-02,5550.0,5625.0,5550.0,5620.0,11647
2021-06-03,5640.0,5700.0,5640.0,5700.0,2705
2021-06-04,5645.0,5650.0,5560.0,5650.0,21441
2021-06-07,5650.0,5700.0,5640.0,5699.5,46016
2021-06-08,5800.0,5800.0,5500.0,5500.0,82013
2021-06-09,5600.0,5750.0,5600.0,5745.0,3367
2021-06-10,5745.0,5790.0,5650.0,5749.0,22305
2021-06-11,5730.0,5790.0,5700.0,5750.0,26873
2021-06-14,5750.0,5750.0,5635.0,5720.0,8039
2021-06-15,5730.0,5850.0,5725.0,5750.0,31549
2021-06-16,5800.0,5800.0,5750.0,5790.0,4314
